2021-12-15 00:12:709 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (710df219ebe70e34fa556b3ed332df32)] -> id: distance]
2021-12-15 00:12:873 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (710df219ebe70e34fa556b3ed332df32)] -> id: toggle-hp-search]
2021-12-15 00:12:278 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (710df219ebe70e34fa556b3ed332df32)] -> id: salarymin]
2021-12-15 00:12:419 INFO  HomePage :101 - Entering maximum salary: 50000
2021-12-15 00:12:527 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (710df219ebe70e34fa556b3ed332df32)] -> id: salarytype]
2021-12-15 00:12:630 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (710df219ebe70e34fa556b3ed332df32)] -> id: tempperm]
2021-12-15 00:12:756 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (710df219ebe70e34fa556b3ed332df32)] -> id: hp-search-btn]
2021-12-15 00:12:307 INFO  ResultPage :32 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (710df219ebe70e34fa556b3ed332df32)] -> xpath: //div[@class='search-header__title']]
2021-12-15 00:12:478 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-15 00:12:996 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (1f4d0b6f713b7a151509b93ef7b64f88)] -> xpath: //button[@id='save']]
2021-12-15 00:12:166 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (1f4d0b6f713b7a151509b93ef7b64f88)] -> id: keywords]
2021-12-15 00:12:283 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (1f4d0b6f713b7a151509b93ef7b64f88)] -> id: location]
2021-12-15 00:12:385 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (1f4d0b6f713b7a151509b93ef7b64f88)] -> id: distance]
2021-12-15 00:12:77 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-15 00:12:566 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (184e1221a8e4936310903501c5501544)] -> xpath: //button[@id='save']]
2021-12-15 00:12:163 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (184e1221a8e4936310903501c5501544)] -> id: keywords]
2021-12-15 00:12:308 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (184e1221a8e4936310903501c5501544)] -> id: location]
2021-12-15 00:12:478 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (184e1221a8e4936310903501c5501544)] -> id: distance]
